OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
51,9,151.321,1380,877
51,9,127.321,1380,877
49,8,136.86,1380,877
51,9,99.0953,1380,877
54,9,124.423,1380,877
50,9,142.113,1380,877
51,9,116.565,1380,877
54,9,139.946,1380,877
50,9,123.517,1380,877
51,9,142.817,1380,877
53,9,137.363,1380,877
53,9,113.312,1380,877
52,9,154.44,1380,877
52,9,152.198,1380,877
52,9,143.129,1380,877
52,9,132.542,1380,877
51,9,122.054,1380,877
53,9,81.5859,1380,877
53,9,103.14,1380,877
51,9,151.321,1380,877
51,9,127.321,1380,877
49,8,136.86,1380,877
51,9,99.0953,1380,877
54,9,124.423,1380,877
50,9,142.113,1380,877
51,9,116.565,1380,877
54,9,139.946,1380,877
50,9,123.517,1380,877
51,9,142.817,1380,877
53,9,137.363,1380,877
53,9,113.312,1380,877
52,9,154.44,1380,877
52,9,152.198,1380,877
52,9,143.129,1380,877
52,9,132.542,1380,877
51,9,122.054,1380,877
53,9,81.5859,1380,877
53,9,103.14,1380,877
