OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
0,0,36.072,1230,877
0,0,36.276,1230,877
0,0,36.17,1230,877
0,0,36.175,1230,877
0,0,36.072,1230,877
0,0,36.162,1230,877
0,0,36.283,1230,877
0,0,36.17,1230,877
0,0,36.17,1230,877
0,0,36.072,1230,877
0,0,36.194,1230,877
0,0,36.194,1230,877
0,0,36.194,1230,877
0,0,36.193,1230,877
0,0,36.194,1230,877
0,0,36.194,1230,877
0,0,36.193,1230,877
0,0,36.193,1230,877
0,0,36.194,1230,877
0,0,36.194,1230,877
0,0,36.17,1230,877
0,0,36.193,1230,877
0,0,36.186,1230,877
0,0,36.193,1230,877
0,0,36.194,1230,877
0,0,36.095,1230,877
0,0,36.186,1230,877
0,0,36.194,1230,877
0,0,36.096,1230,877
0,0,36.193,1230,877
0,0,36.077,1230,877
0,0,36.194,1230,877
0,0,36.096,1230,877
0,0,36.185,1230,877
0,0,36.194,1230,877
0,0,36.193,1230,877
0,0,36.088,1230,877
0,0,36.088,1230,877
0,0,36.194,1230,877
0,0,36.096,1230,877
0,0,36.096,1230,877
0,0,36.087,1230,877
0,0,36.088,1230,877
0,0,35.998,1230,877
0,0,36.064,1230,877
0,0,36.064,1230,877
0,0,36.088,1230,877
0,0,36.096,1230,877
0,0,35.998,1230,877
0,0,36.096,1230,877
