OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
10,2,30463.4,1230,877
7,1,38.7094,1230,877
11,2,51.9062,1230,877
14,2,52.625,1230,877
14,2,53.7583,1230,877
14,2,53.7833,1230,877
14,2,48.9042,1230,877
14,2,48.1042,1230,877
14,2,47.8625,1230,877
14,2,35.9891,1230,877
14,2,48.9729,1230,877
14,2,49.9458,1230,877
14,2,51.0708,1230,877
14,2,51.9333,1230,877
13,2,52.2083,1230,877
12,2,52.2604,1230,877
10,2,53.5563,1230,877
9,1,40.8266,1230,877
8,1,54.5354,1230,877
7,1,55.8979,1230,877
7,1,55.3812,1230,877
7,1,55.3187,1230,877
7,1,55.5625,1230,877
7,1,54.6229,1230,877
7,1,53.8792,1230,877
7,1,39.7266,1230,877
7,1,51.2812,1230,877
7,1,50.7354,1230,877
7,1,50.2562,1230,877
9,1,49.8146,1230,877
10,2,49.6063,1230,877
12,2,48.4729,1230,877
13,2,47.7875,1230,877
14,2,36.5203,1230,877
14,2,48.1854,1230,877
14,2,37.0875,1230,877
14,2,50.0563,1230,877
14,2,50.3958,1230,877
14,2,51.1833,1230,877
14,2,52.2021,1230,877
14,2,53.2729,1230,877
14,2,53.1458,1230,877
14,2,53.8021,1230,877
14,2,40.8125,1230,877
14,2,55.4146,1230,877
14,2,54.5542,1230,877
14,2,52.5375,1230,877
14,2,51.8479,1230,877
14,3,51.5667,1230,877
14,2,46.9229,1230,877
