OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
17,2,35607.8,1230,877
7,1,43.9542,1230,877
7,1,44.1667,1230,877
7,1,47.1167,1230,877
7,1,34,1230,877
7,1,47.6917,1230,877
7,1,45.225,1230,877
7,1,45.6208,1230,877
7,1,43.9125,1230,877
7,1,43.4625,1230,877
7,1,32.5375,1230,877
7,1,45.4958,1230,877
7,1,45.2542,1230,877
7,1,35.75,1230,877
7,1,44.1042,1230,877
7,1,47.1458,1230,877
7,1,35.7438,1230,877
7,1,46.5375,1230,877
7,1,49.075,1230,877
7,1,44.8333,1230,877
7,1,43.1292,1230,877
7,1,33.0438,1230,877
7,1,43.1208,1230,877
7,1,43.6917,1230,877
7,1,45.3875,1230,877
7,1,34.3781,1230,877
7,1,47.5,1230,877
7,1,44.2708,1230,877
7,1,45.6875,1230,877
7,1,44.6333,1230,877
7,1,35.0563,1230,877
7,1,46.5125,1230,877
7,1,43.9167,1230,877
7,1,44.1917,1230,877
7,1,47.7917,1230,877
0,0,33.825,1230,877
0,0,46.375,1230,877
4,1,33.9406,1230,877
2,0,43.3042,1230,877
0,0,44.4792,1230,877
0,0,42.6417,1230,877
0,0,45.6625,1230,877
0,0,44.0042,1230,877
0,0,44.3375,1230,877
7,1,45.9375,1230,877
7,1,35.8875,1230,877
6,1,46.65,1230,877
4,1,34.7188,1230,877
3,0,46.9,1230,877
1,0,44.3708,1230,877
