OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
100,17,200.387,1380,877
100,17,201.273,1380,877
100,17,201.777,1380,877
100,17,202.185,1380,877
100,17,202.202,1380,877
100,17,151.788,1380,877
100,17,202.871,1380,877
100,17,203.217,1380,877
100,17,203.54,1380,877
100,17,203.685,1380,877
100,17,200.387,1380,877
100,17,201.273,1380,877
100,17,201.777,1380,877
100,17,202.185,1380,877
100,17,202.202,1380,877
100,17,151.788,1380,877
100,17,202.871,1380,877
100,17,203.217,1380,877
100,17,203.54,1380,877
100,17,203.685,1380,877
100,17,200.387,1380,877
100,17,201.273,1380,877
100,17,201.777,1380,877
100,17,202.185,1380,877
100,17,202.202,1380,877
100,17,151.788,1380,877
100,17,202.871,1380,877
100,17,203.217,1380,877
100,17,203.54,1380,877
100,17,203.685,1380,877
