OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
100,17,214.773,1380,877
100,17,155.178,1380,877
100,17,206.279,1380,877
100,17,206.413,1380,877
100,17,206.542,1380,877
100,17,206.846,1380,877
100,17,206.871,1380,877
100,17,155.325,1380,877
100,17,207.317,1380,877
100,17,214.773,1380,877
100,17,155.178,1380,877
100,17,206.279,1380,877
100,17,206.413,1380,877
100,17,206.542,1380,877
100,17,206.846,1380,877
100,17,206.871,1380,877
100,17,155.325,1380,877
100,17,207.317,1380,877
100,17,214.773,1380,877
100,17,155.178,1380,877
100,17,206.279,1380,877
100,17,206.413,1380,877
100,17,206.542,1380,877
100,17,206.846,1380,877
100,17,206.871,1380,877
100,17,155.325,1380,877
100,17,207.317,1380,877
100,17,214.773,1380,877
100,17,155.178,1380,877
100,17,206.279,1380,877
100,17,206.413,1380,877
100,17,206.542,1380,877
100,17,206.846,1380,877
100,17,206.871,1380,877
100,17,155.325,1380,877
100,17,207.317,1380,877
