OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
100,17,202.663,1380,877
100,17,152.923,1380,877
100,17,204.24,1380,877
100,17,204.531,1380,877
100,17,204.738,1380,877
100,17,216.983,1380,877
100,17,204.425,1380,877
100,17,201.929,1380,877
100,17,202.015,1380,877
100,17,139.628,1380,877
100,17,202.663,1380,877
100,17,152.923,1380,877
100,17,204.24,1380,877
100,17,204.531,1380,877
100,17,204.738,1380,877
100,17,216.983,1380,877
100,17,204.425,1380,877
100,17,201.929,1380,877
100,17,202.015,1380,877
100,17,139.628,1380,877
100,17,202.663,1380,877
100,17,152.923,1380,877
100,17,204.24,1380,877
100,17,204.531,1380,877
100,17,204.738,1380,877
100,17,216.983,1380,877
100,17,204.425,1380,877
100,17,201.929,1380,877
100,17,202.015,1380,877
100,17,139.628,1380,877

