OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
23,8,69.1833,1297,877
23,8,68.8417,1297,877
39,13,51.5625,1297,877
23,8,72.3167,1335,877
22,8,70.875,1335,877
36,13,71.825,1372,877
21,8,76.2583,1372,877
21,8,74.3167,1380,877
31,11,76.25,1380,877
21,8,75.8,1380,877
35,13,55.9,1380,877
21,8,78.6333,1380,877
21,8,74.1167,1380,877
32,11,76.2167,1380,877
21,8,75.9917,1380,877
35,13,74.2083,1380,877
21,8,77.8833,1380,877
21,8,74.2167,1380,877
30,11,57.025,1380,877
21,8,75.9833,1380,877
36,13,73.6667,1380,877
21,8,77.8417,1380,877
21,8,74.575,1380,877
30,11,75.35,1380,877
21,8,75.9667,1380,877
37,13,73.9667,1380,877
21,8,58.4,1380,877
21,8,80.4333,1380,877
30,11,74.8833,1380,877
21,8,74.9167,1380,877
39,14,77.1333,1380,877
21,8,74.1417,1380,877
27,10,76.7833,1380,877
21,8,74.0417,1380,877
27,10,55.4813,1380,877
21,8,77.1333,1380,877
29,10,55.3937,1380,877
21,8,76.9083,1380,877
29,10,74.4417,1380,877
21,8,73.6833,1380,877
29,10,77.1583,1380,877
21,8,79.7167,1380,877
21,8,75.0583,1380,877
34,12,73.9333,1380,877
21,8,57.8,1380,877
33,12,73.5,1380,877
21,8,76.5,1380,877
21,8,75.3083,1380,877
34,12,74.9583,1380,877
