OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
64,23,121.988,1380,877
64,23,122.412,1380,877
64,23,122.367,1380,877
64,23,122.346,1380,877
64,23,122.471,1380,877
64,23,96.8406,1380,877
64,23,122.692,1380,877
64,23,122.379,1380,877
64,23,122.621,1380,877
64,23,122.95,1380,877
64,23,121.95,1380,877
64,23,122.463,1380,877
64,23,122.233,1380,877
64,23,92.1875,1380,877
64,23,122.321,1380,877
64,23,122.392,1380,877
64,23,121.842,1380,877
64,23,122.188,1380,877
64,23,122.262,1380,877
64,23,127.846,1380,877
64,23,92.2063,1380,877
64,23,122.529,1380,877
64,23,122.875,1380,877
64,23,92.5938,1380,877
64,23,122.575,1380,877
64,23,122.75,1380,877
64,23,122.125,1380,877
64,23,122.725,1380,877
64,23,122.338,1380,877
64,23,123.104,1380,877
64,23,122.533,1380,877
64,23,92.0906,1380,877
64,23,122.579,1380,877
64,23,128.042,1380,877
64,23,122.9,1380,877
64,23,122.392,1380,877
64,23,121.854,1380,877
64,23,122.096,1380,877
64,23,121.825,1380,877
64,23,91.4437,1380,877
64,23,122.162,1380,877
64,23,122.054,1380,877
64,23,122.017,1380,877
64,23,121.954,1380,877
63,23,122.158,1380,877
63,23,122.688,1380,877
65,23,122.35,1380,877
65,23,122.283,1380,877
