OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
97,35,156.483,1380,877
97,35,155.333,1380,877
97,35,116.756,1380,877
97,35,155.863,1380,877
97,35,156.396,1380,877
97,35,156.113,1380,877
97,35,156.387,1380,877
97,35,156.688,1380,877
97,35,158.629,1380,877
97,35,157.479,1380,877
97,35,156.887,1380,877
97,35,117.794,1380,877
97,35,157.337,1380,877
97,35,157.467,1380,877
97,35,157.558,1380,877
97,35,157.654,1380,877
97,35,157.771,1380,877
97,35,157.971,1380,877
97,35,118.456,1380,877
97,35,158.342,1380,877
97,35,158.163,1380,877
97,35,158.629,1380,877
97,35,162.054,1380,877
97,35,118.9,1380,877
97,35,158.729,1380,877
97,35,159.042,1380,877
97,35,159.258,1380,877
97,35,159.15,1380,877
97,35,119.478,1380,877
97,35,159.279,1380,877
97,35,159.346,1380,877
97,35,159.504,1380,877
97,35,159.529,1380,877
97,35,159.837,1380,877
97,35,160.029,1380,877
