OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
40,14,153.311,1380,877
43,15,82.417,1380,877
43,15,57.314,1380,877
40,14,139.674,1380,877
43,15,117.673,1380,877
43,15,52.005,1380,877
40,14,95.509,1380,877
40,14,142.056,1380,877
43,15,48.544,1380,877
42,15,70.408,1380,877
40,14,151.388,1380,877
43,15,86.383,1380,877
43,15,56.362,1380,877
40,14,130.474,1380,877
43,15,120.547,1380,877
43,15,51.53,1380,877
40,14,95.026,1380,877
40,14,138.878,1380,877
43,15,48.714,1380,877
42,15,72.83,1380,877
40,14,149.368,1380,877
43,15,55.362,1380,877
43,15,61.513,1380,877
40,14,155.249,1380,877
43,15,97.632,1380,877
43,15,54.44,1380,877
40,14,107.89,1380,877
41,15,134.662,1380,877
43,15,49.223,1380,877
41,15,78.447,1380,877
40,14,149.079,1380,877
43,15,53.031,1380,877
43,15,61.483,1380,877
40,14,155.331,1380,877
43,15,103.313,1380,877
43,15,53.928,1380,877
40,14,114.304,1380,877
40,15,129.412,1380,877
43,15,49.701,1380,877
42,15,72.95,1380,877
40,14,148.599,1380,877
43,15,65.513,1380,877
43,15,58.865,1380,877
40,14,150.818,1380,877
43,15,107.946,1380,877
43,15,52.781,1380,877
40,14,104.542,1380,877
40,14,134.036,1380,877
43,15,47.154,1380,877
42,15,62.336,1380,877
