OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
79,28,136.812,1380,877
78,28,137.096,1380,877
77,28,137.15,1380,877
76,27,137.054,1380,877
76,27,102.728,1380,877
76,27,137,1380,877
76,27,137.304,1380,877
76,28,137.492,1380,877
76,27,137.325,1380,877
76,27,137.562,1380,877
76,27,140.025,1380,877
76,27,138.488,1380,877
76,27,103.441,1380,877
76,27,137.642,1380,877
76,27,137.779,1380,877
76,27,137.779,1380,877
76,27,137.8,1380,877
76,27,137.654,1380,877
76,27,137.458,1380,877
76,27,137.833,1380,877
76,27,103.65,1380,877
76,27,138.129,1380,877
76,27,138.129,1380,877
76,28,138.058,1380,877
76,27,138.167,1380,877
76,27,144.396,1380,877
76,27,139.087,1380,877
76,27,139.067,1380,877
80,29,104.353,1380,877
79,28,138.958,1380,877
76,27,138.346,1380,877
76,28,139.238,1380,877
76,28,103.916,1380,877
76,28,139.408,1380,877
79,29,139.104,1380,877
80,29,139.008,1380,877
76,27,138.646,1380,877
76,27,139.012,1380,877
76,27,104.453,1380,877
77,28,141.058,1380,877
77,28,140.071,1380,877
78,28,139.079,1380,877
78,28,139.329,1380,877
79,29,139.079,1380,877
