OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
0,0,41.761,1357,877
0,0,41.76,1357,877
0,0,41.858,1357,877
0,0,37.381,1230,877
24,8,37.483,1230,877
24,8,37.477,1230,877
0,0,41.274,1230,877
0,0,55.79,1230,877
0,0,37.38,1230,877
0,0,37.38,1230,877
0,0,37.385,1230,877
24,8,37.381,1230,877
24,8,37.477,1230,877
0,0,40.593,1230,877
0,0,70.655,1230,877
0,0,37.38,1230,877
0,0,37.387,1230,877
0,0,37.38,1230,877
24,8,37.49,1230,877
24,8,37.575,1230,877
0,0,39.716,1230,877
0,0,91.559,1230,877
0,0,37.385,1230,877
0,0,37.478,1230,877
0,0,37.575,1230,877
24,8,37.575,1230,877
24,8,37.575,1230,877
1,0,39.133,1230,877
0,0,99.729,1230,877
0,0,37.478,1230,877
0,0,37.485,1230,877
0,0,37.58,1230,877
24,8,37.679,1230,877
24,8,37.575,1230,877
4,1,38.645,1230,877
0,0,111.256,1230,877
0,0,37.673,1230,877
0,0,37.576,1230,877
0,0,37.58,1230,877
24,8,37.684,1230,877
24,8,37.575,1230,877
8,3,38.257,1230,877
0,0,118.723,1230,877
0,0,37.575,1230,877
0,0,37.583,1230,877
0,0,37.576,1230,877
20,6,37.673,1230,877
24,8,37.673,1230,877
13,4,38.062,1230,877
0,0,123.106,1230,877
