OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
0,0,36.893,1230,877
4,1,38.257,1230,877
7,1,36.991,1230,877
4,1,40.301,1230,877
7,1,36.991,1230,877
6,1,46.597,1230,877
7,1,37.186,1230,877
7,1,37.867,1230,877
4,1,37.575,1230,877
7,1,36.894,1230,877
4,1,38.938,1230,877
7,1,36.901,1230,877
4,1,42.734,1230,877
7,1,37.095,1230,877
7,1,53.283,1230,877
5,1,37.283,1230,877
7,1,37.016,1230,877
4,1,38.548,1230,877
7,1,37.38,1230,877
4,1,40.106,1230,877
7,1,37.381,1230,877
4,1,44.563,1230,877
7,1,37.575,1230,877
7,1,50.95,1230,877
4,1,37.867,1230,877
7,1,37.38,1230,877
4,1,38.743,1230,877
7,1,37.381,1230,877
4,1,41.357,1230,877
7,1,37.485,1230,877
4,1,48.348,1230,877
7,1,37.574,1230,877
7,1,37.38,1230,877
4,1,38.166,1230,877
7,1,37.38,1230,877
4,1,39.23,1230,877
7,1,37.477,1230,877
4,1,42.247,1230,877
7,1,37.484,1230,877
4,1,41.76,1230,877
7,1,37.484,1230,877
7,1,49.028,1230,877
4,1,37.575,1230,877
7,1,37.283,1230,877
4,1,38.256,1230,877
7,1,37.388,1230,877
4,1,39.62,1230,877
7,1,37.38,1230,877
4,1,43.686,1230,877
7,1,37.482,1230,877
