OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
0,0,37.853,1230,877
22,3,43.882,1230,877
24,4,49.395,1230,877
26,4,55.308,1230,877
22,3,49.224,1230,877
22,3,44.952,1230,877
25,4,45.04,1230,877
24,4,57.232,1230,877
22,3,50.179,1230,877
22,3,44.359,1230,877
26,4,48.811,1230,877
24,4,55.316,1230,877
22,3,48.641,1230,877
22,3,44.854,1230,877
25,4,44.465,1230,877
24,4,58.127,1230,877
22,3,50.675,1230,877
22,3,45.722,1230,877
25,4,42.915,1230,877
25,4,55.51,1230,877
22,3,52.602,1230,877
22,3,47.181,1230,877
25,4,43.61,1230,877
25,4,57.426,1230,877
22,3,51.631,1230,877
22,3,46.5,1230,877
25,4,43.415,1230,877
25,4,52.116,1230,877
22,3,53.186,1230,877
22,3,47.569,1230,877
25,4,44.09,1230,877
25,4,48.162,1230,877
22,3,56.288,1230,877
22,3,48.932,1230,877
24,4,45.049,1230,877
25,4,42.442,1230,877
22,3,58.029,1230,877
22,3,51.241,1230,877
24,4,44.66,1230,877
26,4,43.887,1230,877
22,3,57.455,1230,877
22,3,48.931,1230,877
25,4,44.855,1230,877
25,4,42.427,1230,877
22,3,57.649,1230,877
22,3,50.968,1230,877
25,4,46.022,1230,877
24,4,42.929,1230,877
22,3,54.414,1230,877
22,3,52.117,1230,877
