OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
0,0,37.38,1230,877
10,2,38.257,1230,877
11,2,38.937,1230,877
11,2,40.204,1230,877
11,2,42.817,1230,877
11,2,48.64,1230,877
11,2,48.154,1230,877
11,2,38.354,1230,877
10,2,38.937,1230,877
11,2,40.203,1230,877
11,2,42.929,1230,877
11,2,48.543,1230,877
11,2,47.359,1230,877
11,2,38.255,1230,877
10,2,38.938,1230,877
11,2,40.301,1230,877
11,2,42.136,1230,877
11,2,47.286,1230,877
11,2,52.408,1230,877
11,2,38.159,1230,877
10,2,38.744,1230,877
11,2,39.912,1230,877
11,2,42.247,1230,877
11,2,47.278,1230,877
11,2,52.409,1230,877
11,2,38.159,1230,877
11,2,38.646,1230,877
11,2,39.912,1230,877
11,2,42.247,1230,877
11,2,47.181,1230,877
11,2,52.214,1230,877
11,2,38.158,1230,877
11,2,38.549,1230,877
10,2,39.521,1230,877
11,2,41.566,1230,877
11,2,45.721,1230,877
11,2,53.478,1230,877
11,2,37.964,1230,877
11,2,38.452,1230,877
10,2,39.327,1230,877
11,2,41.177,1230,877
11,2,45.138,1230,877
11,2,53.477,1230,877
11,2,38.061,1230,877
11,2,38.451,1230,877
11,2,39.327,1230,877
11,2,40.982,1230,877
11,2,43.395,1230,877
11,2,49.808,1230,877
11,2,43.2,1230,877
