OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
0,0,36.706,1230,877
4,1,36.627,1230,877
4,1,36.626,1230,877
4,1,36.626,1230,877
0,0,36.723,1230,877
0,0,36.723,1230,877
4,1,37.306,1230,877
4,1,43.301,1230,877
4,1,36.638,1230,877
4,1,36.627,1230,877
4,1,36.626,1230,877
4,1,36.626,1230,877
0,0,36.723,1230,877
4,1,36.917,1230,877
4,1,38.847,1230,877
4,1,53.698,1230,877
4,1,36.529,1230,877
4,1,36.552,1230,877
4,1,36.626,1230,877
0,0,36.626,1230,877
2,0,36.626,1230,877
4,1,37.209,1230,877
4,1,43.427,1230,877
4,1,36.724,1230,877
4,1,36.626,1230,877
4,1,36.541,1230,877
1,0,36.626,1230,877
0,0,36.723,1230,877
4,1,36.918,1230,877
4,1,40.124,1230,877
4,1,36.529,1230,877
4,1,36.529,1230,877
4,1,36.63,1230,877
4,1,36.626,1230,877
0,0,36.626,1230,877
4,1,36.833,1230,877
4,1,37.987,1230,877
4,1,37.064,1230,877
4,1,40.609,1230,877
4,1,36.724,1230,877
4,1,36.626,1230,877
0,0,36.723,1230,877
0,0,36.529,1230,877
4,1,36.577,1230,877
4,1,36.723,1230,877
4,1,36.724,1230,877
4,1,38.86,1230,877
0,0,48.997,1230,877
0,0,36.529,1230,877
4,1,36.534,1230,877
