OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
0,0,39.398,1230,877
37,6,61.4,1230,877
38,6,60.884,1230,877
40,6,54.122,1230,877
40,6,51.913,1230,877
38,6,54.998,1230,877
37,6,58.486,1230,877
37,6,59.254,1230,877
37,6,62.535,1230,877
38,6,56.163,1230,877
40,6,50.756,1230,877
39,6,54.343,1230,877
37,6,58.981,1230,877
37,6,62.534,1230,877
37,6,54.803,1230,877
39,6,51.534,1230,877
39,6,55.872,1230,877
37,6,62.848,1230,877
37,6,55.686,1230,877
38,6,51.436,1230,877
40,6,55.997,1230,877
38,6,61.702,1230,877
37,5,60.73,1230,877
37,6,52.407,1230,877
39,6,53.672,1230,877
38,6,58.231,1230,877
37,5,61.021,1230,877
37,5,51.533,1230,877
38,6,52.117,1230,877
40,6,56.668,1230,877
39,6,57.135,1230,877
40,6,50.074,1230,877
38,6,53.381,1230,877
37,5,57.649,1230,877
37,5,62.265,1230,877
38,6,55.58,1230,877
39,6,50.368,1230,877
39,6,53.761,1230,877
39,6,58.807,1230,877
37,6,60.049,1230,877
37,5,51.533,1230,877
37,6,51.922,1230,877
39,6,55.387,1230,877
40,6,61.411,1230,877
38,6,57.241,1230,877
37,5,50.099,1230,877
37,5,54.061,1230,877
38,6,58.301,1230,877
40,6,60.924,1230,877
39,6,52.797,1230,877
