OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
0,0,38.913,1230,877
85,14,91.727,1357,877
85,14,93.697,1380,877
84,13,93.761,1380,877
85,14,95.796,1380,877
84,13,92.696,1380,877
85,14,94.73,1380,877
84,13,92.309,1380,877
85,14,93.471,1380,877
84,13,94.891,1380,877
84,13,95.408,1380,877
85,14,93.582,1380,877
84,13,92.13,1380,877
85,14,94.245,1380,877
84,13,95.602,1380,877
84,13,92.614,1380,877
85,14,95.117,1380,877
84,13,93.229,1380,877
85,14,94.148,1380,877
84,13,95.568,1380,877
84,14,92.89,1380,877
84,13,94.439,1380,877
84,13,95.698,1380,877
85,14,94.246,1380,877
84,13,94.73,1380,877
85,14,93.568,1380,877
84,13,96.28,1380,877
85,14,93.194,1380,877
84,13,95.311,1380,877
84,13,92.89,1380,877
85,14,94.536,1380,877
84,14,94.634,1380,877
84,13,94.149,1380,877
84,13,95.796,1380,877
85,14,92.922,1380,877
84,13,95.117,1380,877
85,14,96.28,1380,877
84,13,94.245,1380,877
85,14,96.182,1380,877
84,13,93.665,1380,877
85,14,96.183,1380,877
84,13,94.827,1380,877
85,14,95.118,1380,877
84,13,95.602,1380,877
85,14,94.91,1380,877
84,14,94.536,1380,877
84,13,96.651,1380,877
85,14,93.955,1380,877
84,13,95.989,1380,877
85,14,92.793,1380,877
